epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.551,1.56886,4.98006,4.62634,1.851,0.00273,0.78846,0.01514,0.00589,0.0022,0.63462,0.01163,0.00348,1.10632,2.66742,14.9217,1.25443,0.0676735,0.000326531,0.000326531
2,102.56,1.3125,4.54049,3.90683,1.61726,0.00267,0.76923,0.02433,0.0102,0.00227,0.65385,0.01956,0.00573,0.88465,2.31088,13.9431,1.08323,0.0346473,0.000633733,0.000633733
3,154.769,1.22272,3.94606,3.45175,1.5694,0.00273,0.78846,0.04331,0.01739,0.00253,0.73077,0.03398,0.01204,0.74988,1.95646,13.1848,0.95981,0.00159481,0.000914536,0.000914536
4,204.316,1.15984,3.62764,3.5075,1.52106,0.0028,0.80769,0.0647,0.02647,0.00247,0.71154,0.05557,0.02304,0.74458,1.78605,12.9254,0.94112,0.0008812,0.0008812,0.0008812
5,247.478,1.1687,3.42442,3.52923,1.52885,0.0028,0.80769,0.07702,0.02996,0.00253,0.73077,0.06368,0.02932,0.7026,1.8028,12.8249,0.89851,0.0008416,0.0008416,0.0008416
6,290.623,1.01404,3.25243,3.7009,1.42033,0.0028,0.80769,0.08142,0.0365,0.0026,0.75,0.06618,0.03248,0.65752,1.60848,12.6804,0.82225,0.000802,0.000802,0.000802
7,334.456,1.09771,3.25359,3.58904,1.4139,0.00947,0.59615,0.11123,0.0543,0.00947,0.59615,0.10323,0.04774,0.65219,1.50563,12.609,0.79856,0.0007624,0.0007624,0.0007624
8,378.038,1.09222,3.15188,3.34451,1.44235,0.02457,0.61538,0.1373,0.06318,0.02303,0.57692,0.13257,0.05979,0.6913,1.41244,12.6843,0.83178,0.0007228,0.0007228,0.0007228
9,421.365,1.08367,3.07678,3.21336,1.41385,0.45182,0.11122,0.20363,0.08758,0.4259,0.10011,0.18714,0.08834,0.69329,1.37228,12.6869,0.80201,0.0006832,0.0006832,0.0006832
10,477.015,0.98391,2.78008,3.30714,1.34577,0.48995,0.19231,0.21261,0.10027,0.48995,0.19231,0.21076,0.10973,0.66774,1.34056,12.8359,0.80426,0.0006436,0.0006436,0.0006436
11,533.002,1.09887,2.90697,3.14317,1.38118,0.52861,0.21154,0.25279,0.11799,0.52861,0.21154,0.24516,0.13104,0.68188,1.32815,12.8361,0.80951,0.000604,0.000604,0.000604
12,589.136,1.0043,2.667,3.94129,1.29409,0.43695,0.21154,0.31109,0.15082,0.43695,0.21154,0.30789,0.15412,0.65205,1.30172,12.6654,0.76264,0.0005644,0.0005644,0.0005644
13,645.102,1.11664,2.66478,2.90036,1.371,0.44241,0.21154,0.31283,0.15268,0.44241,0.21154,0.31048,0.16456,0.63471,1.28077,12.7025,0.73648,0.0005248,0.0005248,0.0005248
14,701.331,1.04895,2.64676,2.85328,1.37272,0.43892,0.23077,0.28899,0.14592,0.43892,0.23077,0.27887,0.15363,0.65141,1.28405,12.6252,0.73866,0.0004852,0.0004852,0.0004852
15,758.55,1.0927,2.6028,3.50044,1.34855,0.50067,0.25,0.30827,0.15651,0.51531,0.25,0.30367,0.16751,0.65242,1.26797,12.5734,0.73029,0.0004456,0.0004456,0.0004456
16,815.098,1.04692,2.35662,6.9809,1.24616,0.68342,0.25,0.30702,0.16169,0.68342,0.25,0.30211,0.16897,0.67237,1.37176,12.3856,0.73404,0.000406,0.000406,0.000406
17,872.539,0.96862,2.20459,6.95769,1.18707,0.48588,0.28846,0.31877,0.16483,0.53089,0.30769,0.33465,0.17427,0.6886,1.38357,12.7146,0.74514,0.0003664,0.0003664,0.0003664
18,928.523,1.04572,2.20253,7.89718,1.25606,0.49322,0.30769,0.3496,0.18125,0.49322,0.30769,0.33579,0.18754,0.67322,1.35397,12.8541,0.74113,0.0003268,0.0003268,0.0003268
19,981.189,0.92546,2.3475,7.72244,1.17159,0.4923,0.32692,0.35311,0.19329,0.4923,0.32692,0.33541,0.19402,0.65424,1.33763,12.7142,0.73085,0.0002872,0.0002872,0.0002872
20,1028.43,0.91612,2.2966,6.94397,1.14848,0.50295,0.35035,0.36137,0.18734,0.50295,0.35035,0.3538,0.20099,0.67348,1.29806,12.5061,0.73974,0.0002476,0.0002476,0.0002476
21,1083.37,0.97913,2.12205,7.16274,1.23282,0.52834,0.36538,0.35136,0.19649,0.52115,0.36538,0.35579,0.20554,0.66985,1.30897,12.4413,0.72612,0.000208,0.000208,0.000208
22,1138.35,0.95778,2.22558,6.89405,1.23455,0.48855,0.36538,0.35636,0.19444,0.48156,0.38462,0.36005,0.20788,0.67176,1.31579,12.3318,0.72917,0.0001684,0.0001684,0.0001684
23,1194.85,0.85464,2.08899,7.75818,1.08801,0.58319,0.42308,0.37719,0.22021,0.58319,0.42308,0.37115,0.22594,0.68115,1.26065,12.3186,0.74069,0.0001288,0.0001288,0.0001288
24,1242.23,0.95298,2.16653,6.62196,1.23016,0.60188,0.36538,0.37208,0.21246,0.60164,0.38462,0.37869,0.22902,0.69738,1.25814,12.1268,0.75293,8.92e-05,8.92e-05,8.92e-05
25,1295.9,0.94408,2.03781,6.83087,1.14413,0.55049,0.35339,0.3652,0.21084,0.57891,0.38462,0.37156,0.2177,0.66185,1.27662,12.0999,0.72722,4.96e-05,4.96e-05,4.96e-05
